Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
12/25/2020,York,3,,,,
12/25/2020,Out-of-State,12,,,,
12/26/2020,Adams,13,,,,
11/18/2022,Cumberland,10,9,,,426
12/26/2020,Armstrong,15,,,,
12/26/2020,Bedford,7,,,,
01/18/2021,Wayne,96,21,,,
12/26/2020,Blair,73,,,,
05/02/2021,Montgomery,1204,3601,,,
11/15/2022,Crawford,5,1,,,107
12/26/2020,Cambria,10,,,,
12/26/2020,Carbon,33,,,,
12/26/2020,Centre,28,,,,
02/21/2021,Lehigh,404,284,,,
12/26/2020,Clearfield,3,,,,
10/01/2022,Montgomery,30,33,4,,1616
12/26/2020,Erie,17,,,,
12/26/2020,Fayette,3,,,,
12/26/2020,Franklin,70,,,,
12/26/2020,Fulton,1,,,,
12/26/2020,Greene,3,,,,
12/26/2020,Juniata,5,,,,
12/26/2020,Lawrence,3,,,,
12/26/2020,Lebanon,79,,,,
04/27/2022,Sullivan,1,,,3,
04/20/2022,Armstrong,8,15,29,429,
12/26/2020,Lycoming,5,,,,
12/26/2020,Mercer,1,,,,
12/26/2020,Mifflin,14,,,,
12/26/2020,Monroe,34,,,,
03/26/2021,York,2321,1696,,,
08/04/2021,Berks,421,306,,,
12/26/2020,Northampton,105,,,,
12/26/2020,Northumberland,36,,,,
02/11/2022,Pike,31,21,30,,
12/26/2020,Pike,3,,,,
12/26/2020,Snyder,12,,,,
12/26/2020,Somerset,1,,,,
12/26/2020,Sullivan,1,,,,
12/26/2020,Susquehanna,2,,,,
12/26/2020,Tioga,2,,,,
12/26/2020,Union,21,,,,
12/26/2020,Wayne,7,,,,
12/26/2020,Westmoreland,73,,,,
10/11/2021,Potter,5,4,4,,
12/26/2020,York,237,,,,
01/26/2021,Franklin,417,95,,,
12/27/2020,Adams,13,,,,
11/10/2021,Cumberland,581,120,914,,
12/27/2020,Armstrong,3,,,,
12/27/2020,Beaver,12,,,,
12/27/2020,Bradford,3,,,,
12/27/2020,Bucks,170,,,,
12/27/2020,Butler,27,,,,
12/27/2020,Cambria,1,,,,
12/27/2020,Carbon,22,,,,
07/17/2022,Warren,,2,2,4,
05/10/2022,Centre,20,13,25,228,
12/27/2020,Clinton,1,,,,
01/16/2022,Chester,373,131,565,,
12/27/2020,Cumberland,25,,,,
12/27/2020,Dauphin,15,,,,
05/23/2022,Carbon,6,8,12,47,
12/27/2020,Erie,1,,,,
12/27/2020,Fayette,3,,,,
12/27/2020,Franklin,1,,,,
12/27/2020,Fulton,1,,,,
12/27/2020,Huntingdon,4,,,,
12/27/2020,Indiana,1,,,,
12/27/2020,Juniata,3,,,,
01/22/2021,Jefferson,258,3,,,
12/27/2020,Lancaster,141,,,,
12/27/2020,Lawrence,2,,,,
12/27/2020,Lebanon,9,,,,
12/27/2020,Luzerne,159,,,,
12/27/2020,Lycoming,10,,,,
12/27/2020,Mercer,2,,,,
12/27/2020,Mifflin,12,,,,
12/27/2020,Monroe,67,,,,
02/02/2021,Armstrong,249,263,,,
02/03/2021,Clearfield,139,312,,,
11/03/2022,Warren,1,,,,62
12/27/2020,Perry,2,,,,
08/16/2022,Lehigh,48,29,52,46,
12/27/2020,Pike,2,,,,
12/27/2020,Schuylkill,66,,,,
11/11/2021,Northampton,553,96,719,,
08/17/2021,Chester,501,444,205,,
12/27/2020,Tioga,3,,,,
11/30/2021,Wayne,56,25,182,,
12/27/2020,Wayne,8,,,,
12/27/2020,Westmoreland,30,,,,
11/05/2021,Fayette,138,112,478,,
08/07/2021,Union,29,10,,,
12/18/2020,Columbia,91,,,,
04/25/2021,Allegheny,769,1394,,,
12/28/2020,Armstrong,113,,,,
12/28/2020,Beaver,207,,,,
12/28/2020,Bedford,61,,,,
12/06/2021,Franklin,116,138,343,,
